ICAO	Latitude	Longitude
EDXB	0.000	0.000
EDXC	0.000	0.000
EDXD	0.000	0.000
EDXE	0.000	0.000
EDXF	54.772	9.378
EDXG	0.000	0.000
EDXH	0.000	0.000
EDXI	0.000	0.000
EDXL	0.000	0.000
EDXM	0.000	0.000
EDXN	0.000	0.000
EDXO	0.000	0.000
EDXP	0.000	0.000
EDXQ	0.000	0.000
EDXR	54.221	9.601
EDXS	0.000	0.000
EDXU	0.000	0.000
EDXW	54.913	8.340
EDXY	0.000	0.000
EDXZ	0.000	0.000
EDYY	0.000	0.000
EDZB	0.000	0.000
EDZE	0.000	0.000
EDZF	0.000	0.000
EDZH	0.000	0.000
EDZL	0.000	0.000
EDZM	0.000	0.000
EDZO	0.000	0.000
EDZS	0.000	0.000
EDZW	0.000	0.000
EEEI	59.259	24.204
EEKA	58.991	22.831
EEKE	58.230	22.509
EEPU	58.419	24.473
EETN	59.413	24.833
EETU	58.307	26.690
EFAA	0.000	0.000
EFAH	0.000	0.000
EFAL	0.000	0.000
EFET	68.362	23.424
EFEU	61.116	22.201
EFFO	0.000	0.000
EFHA	61.856	24.786
EFHF	60.254	25.043
EFHK	60.320	24.956
EFHL	0.000	0.000
EFHM	61.689	23.074
EFHN	59.849	23.083
EFHP	0.000	0.000
EFHT	0.000	0.000
EFHV	60.654	24.881
EFII	0.000	0.000
EFIK	60.463	23.652
EFIL	0.000	0.000
EFIM	61.249	28.904
EFIT	62.166	30.074
EFIV	68.607	27.405
EFJM	0.000	0.000
EFJO	62.659	29.624
EFJP	0.000	0.000
EFJS	0.000	0.000
EFJY	62.399	25.678
EFKA	63.127	23.051
EFKE	65.782	24.599
EFKG	0.000	0.000
EFKH	0.000	0.000
EFKI	64.285	27.692
EFKJ	62.463	22.393
EFKK	63.721	23.143
EFKM	66.713	27.157
EFKR	0.000	0.000
EFKS	65.987	29.239
EFKT	67.701	24.847
EFKU	63.007	27.798
EFKV	0.000	0.000
EFKY	0.000	0.000
EFLA	61.144	25.693
EFLP	61.044	28.144
EFMA	60.122	19.898
EFME	62.947	23.519
EFMI	61.686	27.202
EFNU	60.334	24.296
EFOP	0.000	0.000
EFOU	64.930	25.354
EFPE	0.000	0.000
