ICAO,IATA,NOM,TAILLE,PAYS,CITE
ZUUU,CTU,Chengdu Shuangliu International,Largeairport, China, Chengdu
,CTW,Cottonwood,Closed, United States, Cottonwood
KN03,CTX,Cortland County Chase Field,Smallairport, United States, Cortland
KCTY,CTY,Cross City,Smallairport, United States, Cross City
KCTZ,CTZ,Sampson County,Smallairport, United States, Clinton
MMDA,CUA,Ciudad Constitución,Mediumairport, Mexico, Ciudad Constitución
KCUB,CUB,Jim Hamilton L.B. Owens,Mediumairport, United States, Columbia
SKCC,CUC,Camilo Daza International,Mediumairport, Colombia, Cúcuta
YCDR,CUD,Caloundra,Smallairport, Australia,
SECU,CUE,Mariscal Lamar,Mediumairport, Ecuador, Cuenca
LIMZ,CUF,Cuneo International,Mediumairport, Italy, Cuneo
YCUA,CUG,Cudal,Smallairport, Australia,
,CUI,Currillo,Smallairport, Colombia, Currillo
,CUJ,Culion,Closed, Philippines, Culion Island
,CUK,Caye Caulker,Mediumairport, Belize, Caye Caulker
MMCL,CUL,Bachigualato Federal International,Mediumairport, Mexico, Culiacán
SVCU,CUM,Cumaná (Antonio José de Sucre),Mediumairport, Venezuela,
MMUN,CUN,Cancún International,Largeairport, Mexico, Cancún
SKCR,CUO,Carurú,Smallairport, Colombia, Carurú
SVCP,CUP,General Francisco Bermúdez,Mediumairport, Venezuela, Carúpano
YCOE,CUQ,Coen,Mediumairport, Australia, Coen
TNCC,CUR,Hato International,Mediumairport, Curaçao, Willemstad
SAZW,CUT,Cutral-Co,Mediumairport, Argentina, Cutral-Co
MMCU,CUU,General Roberto Fierro Villalobos International,Mediumairport, Mexico, Chihuahua
SVCG,CUV,Casigua El Cubo,Smallairport, Venezuela, Casigua El Cubo
,CUW,Cube Cove,Closed, United States, Cube Cove
YCUE,CUY,Cue,Smallairport, Australia,
SPZO,CUZ,Alejandro Velasco Astete International,Largeairport, Perú, Cusco
AYCB,CVB,Chungribu,Smallairport, Papua New Guinea, Chungribu
YCEE,CVC,Cleve,Mediumairport, Australia,
SKCV,CVE,Coveñas,Mediumairport, Colombia, Coveñas
LFLJ,CVF,Courchevel,Smallairport, France, Courcheval
KCVG,CVG,Cincinnati Northern Kentucky International,Largeairport, United States, Cincinnati
SAHE,CVH,Caviahue,Smallairport, Argentina, Lafontaine
,CVI,Caleta Olivia,Smallairport, Argentina, Caleta Olivia
MMCB,CVJ,General Mariano Matamoros,Mediumairport, Mexico,
,CVL,Cape Vogel,Smallairport, Papua New Guinea,
MMCV,CVM,General Pedro Jose Mendez International,Mediumairport, Mexico, Ciudad Victoria
KCVN,CVN,Clovis Municipal,Smallairport, United States, Clovis
KCVO,CVO,Corvallis Municipal,Mediumairport, United States, Corvallis
YCAR,CVQ,Carnarvon,Mediumairport, Australia, Carnarvon
,CVR,Hughes,Closed, United States, Culver City
KCVS,CVS,Cannon Air Force Base,Largeairport, United States, Clovis
EGBE,CVT,Coventry,Mediumairport, United Kingdom, Coventry
LPCR,CVU,Corvo,Smallairport, Portugal, Corvo
KCWA,CWA,Central Wisconsin,Mediumairport, United States, Mosinee
SBCT,CWB,Afonso Pena,Largeairport, Brazil, Curitiba
UKLN,CWC,Chernivtsi International,Mediumairport, Ukraine, Chernivtsi
HECW,CWE,Cairo West,Mediumairport, Egypt, El Cairo
KCWF,CWF,Chennault International,Smallairport, United States, Lake Charles
KCWI,CWI,Clinton Municipal,Smallairport, United States, Clinton
EGFF,CWL,Cardiff International,Largeairport, United Kingdom, Cardiff
,CWO,Ft Wolter AAF,Closed, United States, Mineral Wells
,CWP,Campbellpore,Smallairport, Pakistan, Campbellpore
YCWI,CWR,Cowarie,Smallairport, Australia,
78WA,CWS,Center Island,Smallairport, United States, Center Island
YCWR,CWT,Cowra,Mediumairport, Australia,
YCOR,CWW,Corowa,Mediumairport, Australia,
P33,CWX,Cochise County,Smallairport, United States, Willcox
SVCD,CXA,Caicara del Orinoco,Mediumairport, Venezuela,
VGCB,CXB,Cox's Bazar,Mediumairport, Bangladesh, Cox's Bazar
CXC,CXC,Chitina,Smallairport, United States, Chitina
PACX,CXF,Coldfoot,Smallairport, United States, Coldfoot
CYHC,CXH,Vancouver Harbour Water Aerodrome,Seaplanebase, Canada, Vancouver
PLCH,CXI,Cassidy International,Mediumairport, Kiribati, Banana
SBCX,CXJ,Hugo Cantergiani Regional,Mediumairport, Brazil, Caxias Do Sul
KCXL,CXL,Calexico International,Smallairport, United States, Calexico
FNCX,CXM,Camaxilo,Smallairport, Angola, Camaxilo
HCMC,CXN,Candala,Smallairport, Somalia, Candala
KCXO,CXO,Conroe-North Houston Regional,Mediumairport, United States, Houston
WIHL,CXP,Tunggul Wulung,Mediumairport, Indonesia, Cilacap-Java Island
YCRK,CXQ,Christmas Creek Station,Smallairport, Australia, Christmas Creek
VVCR,CXR,Cam Ranh,Mediumairport, Vietnam, Nha Trang
YCHT,CXT,Charters Towers,Smallairport, Australia,
MYCC,CXY,Cat Cay,Smallairport, Bahamas, Cat Cay
MTCA,CYA,Les Cayes,Mediumairport, Haiti, Les Cayes
MWCB,CYB,Gerrard Smith International,Mediumairport, Cayman Islands, Cayman Brac
,CYC,Caye Chapel,Mediumairport, Belize, Caye Chapel
,CYE,Crystal Lake,Closed, United States, Crystal Lake
PACK,CYF,Chefornak,Smallairport, United States, Chefornak
YCRG,CYG,Corryong,Mediumairport, Australia,
RCKU,CYI,Chiayi,Mediumairport, Taiwan, Chiayi City
MHCS,CYL,Coyoles,Smallairport, Honduras, Coyoles
CYM,CYM,Chatham,Seaplanebase, United States, Chatham
MUCL,CYO,Vilo Acuña International,Mediumairport, Cuba, Cayo Largo del Sur
RPVC,CYP,Calbayog,Mediumairport, Philippines, Calbayog City
SUCA,CYR,Laguna de Los Patos International,Smallairport, Uruguay, Colonia del Sacramento
KCYS,CYS,Cheyenne Regional Jerry Olson Field,Mediumairport, United States, Cheyenne
PACY,CYT,Yakataga,Smallairport, United States, Yakataga
RPLO,CYU,Cuyo,Smallairport, Philippines, Cuyo
MMCY,CYW,Captain Rogelio Castillo National,Mediumairport, Mexico, Celaya
UESS,CYX,Cherskiy,Mediumairport, Russia, Cherskiy
RPUY,CYZ,Cauayan,Mediumairport, Philippines, Cauayan City
MMCT,CZA,Chichen Itza International,Mediumairport, Mexico, Chichen Itza
SSAK,CZB,Carlos Ruhl,Smallairport, Brazil, Cruz Alta
Z93,CZC,Copper Center 2,Smallairport, United States, Copper Center
SVCR,CZE,José Leonardo Chirinos,Mediumairport, Venezuela, Coro
PACZ,CZF,Cape Romanzof LRRS,Mediumairport, United States, Cape Romanzof
,CZH,Corozal Municipal,Mediumairport, Belize, Corozal
,CZJ,Corazón de Jesús,Smallairport, Panama, Corazón de Jesús and Narganá Islands
KCZK,CZK,Cascade Locks State,Smallairport, United States, Cascade Locks
